S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%,PAT 12MRs.Cr.,ROE%,ROA 12M%,Current ratio,Quick Rat,Debt / Eq,Int Coverage
1,Hind. Unilever,2327.3,50.11,546970.62,1.85,6603,9.62,16441,5.69,27.85,10915.3,20.72,13.19,1.09,0.85,0.04,34.19
2,ITC,301.6,18.31,377765.03,4.76,5018.45,9.62,20047.3,6.69,36.79,20630,27.32,22.16,3.04,1.84,0.01,418.99
3,Nestle India,1421.3,79.43,274158.78,0.95,1114.11,28.84,6747.79,22.6,84.21,3451.73,73.24,26.88,0.96,0.42,0.08,29.35
4,Varun Beverages,490.45,56.46,165635.39,0.31,260.01,35.99,4204.42,13.98,19.71,2933.69,16.21,12.16,1.94,1.21,0.13,21.03
5,Britannia Inds.,5730.5,57.16,138057.57,1.31,682.14,16.89,4969.82,8.21,52.99,2415.1,52.94,24.52,0.94,0.49,0.59,27.1
6,Tata Consumer,1174,80.07,116101.04,0.7,384.52,41.52,5112,15.04,9.16,1450.02,7.01,4.26,1.54,0.89,0.13,15.69
7,Godrej Consumer,1089.9,57.43,111572.24,1.84,497.91,11.97,4099.12,8.78,19.21,1942.74,15.21,9.93,0.99,0.74,0.34,9.31
8,Marico,783.3,59.32,101677.48,1.34,460,12.03,3537,26.59,45.16,1714,41.34,21.01,1.9,1.34,0.14,47.13
9,United Spirits,1391.9,57.55,101243.63,0.86,418,11.77,3694,7.6,26.5,1759.16,19.74,12.34,1.97,1.35,0.05,22.01
10,Dabur India,451.1,43.04,79985.08,1.77,553.61,9.44,3558.65,6.06,20.24,1858.28,17.04,11.06,1.83,1.34,0.12,17.41
11,Colgate-Palmoliv,2171.3,44.29,59049.37,2.35,323.86,2.25,1486.13,1.66,105.34,1333.18,81.19,46.23,1.29,1.08,0.04,443.35
12,Patanjali Foods,462.95,29.93,50266.66,0.76,593.76,68.21,10483.71,16.53,15.55,1679.58,12.06,9.04,2.1,0.89,0.24,14.46
13,Radico Khaitan,3187.2,80.46,42684.62,0.13,155.09,69.07,1546.75,19.51,16.24,530.53,13.62,7.98,1.65,0.97,0.21,11.1
14,United Breweries,1477.1,92.94,39043.44,0.68,81.15,76.72,2072.72,3.62,13.88,420.08,10.77,6.03,1.34,0.85,0.18,13.29
15,P & G Hygiene,10300,38.91,33438.41,1.65,301.46,12.24,1261.9,1.14,103.79,859.48,75.67,32.72,1.37,1.17,0,96.89
16,Godfrey Phillips,2107.2,25.34,32895.97,1.5,343.29,8.2,1828.61,15.09,26.32,1298.25,19.93,14.75,2.23,0.9,0.03,133.79
17,Gillette India,8095.5,42.55,26399.73,1.48,172.46,36.91,790,15.24,56.06,620.48,41.62,21.84,1.77,1.18,0,70.29
18,AWL Agri Busine.,197.74,26.8,25697.24,0,269.03,-30,18602.67,10.47,20.89,958.85,13.86,5.83,1.2,0.39,0.11,2.75
19,Hatsun Agro,991.2,57.4,22100.69,0.61,67.14,64,2314.63,15.17,13.12,385.04,17.05,5.88,0.59,0.13,1.08,4.21
20,Emami,460.15,24.93,20031.97,2.17,319.48,17.79,1151.81,9.75,32.42,803.39,30.18,22.73,2.74,2.14,0.02,83.33
21,Avanti Feeds,1421.1,30.58,19340.68,0.63,163.47,10.4,1383.52,1.31,23.99,632.54,19.53,15.68,4.61,3.91,0,406.77
22,Bikaji Foods,659.3,66.32,16552.63,0.15,62.17,117.64,790.01,10.51,18.16,249.6,15.48,11.27,2.22,1.8,0.21,18.39
