Order,SKU,Member,Delivery Date
7409204,15669778,SWLCNOE,05/09/13
8076206,15669977,SWOEZES,01/04/14
7560723,7593949,SSWWRHW,30/06/13
8362837,15669764,SWLSCOZ,06/11/13
8202458,15670196,SSRCRSO,03/02/14
8081317,15669970,SWLZSNO,03/04/14
8378408,15668457,SSWLNRZ,15/11/13
7440894,15669885,SSWZHRR,16/08/13
7738863,15668685,SWOHOER,11/12/12
7771136,15668685,SWOCNOC,14/10/12
8223433,7572304,SSZNOWR,11/02/14
8105205,15669780,SWRNHCS,17/03/14
8082175,7598720,SSSEWLS,04/04/14
8089212,15668377,SWCNZWN,06/04/14
8151550,15669799,SWECZOC,09/03/14
8133840,15669878,SWCZCSZ,01/03/14
7748353,15669772,SWNROCL,22/12/12
7690884,7572254,SWOSSRS,17/03/13
8074318,15669972,SSHCNOH,02/04/14
8247009,15669880,SWOWWLL,25/01/14
7381183,15668381,SWOZCRC,28/09/13
8315583,34986129,SSZRRWR,21/12/13
8227204,15669782,SWNSEHW,14/01/14
8135835,15669778,SSZEWOW,02/03/14
8109601,15669880,SSEWSWC,18/03/14
8230221,15668377,SSNLCOZ,15/01/14
7377566,15669816,SWRHCCH,26/09/13
7605272,7569806,SWOZLCN,29/04/13
7775378,15668478,SWOCEEH,23/10/12
7480357,7587691,SWLNWOC,02/08/13
7469858,15668688,SSLRSWO,03/09/13
7686733,15668465,SWOOLHC,12/03/13
8273657,15669771,SWNRZEW,03/01/14
8089109,15669817,SSLNHHC,06/04/14
8223433,15670157,SSZNOWR,11/02/14
8064480,15668453,SSRCENS,28/03/14
8277630,15668474,SWNHZNC,05/01/14
8282341,15668379,SSRORNN,08/01/14
7742018,15668688,SWLRHRW,12/12/12
7710637,15670144,SWCSHZW,26/01/13
7399616,34986123,SSLWESH,08/10/13
8089417,34987569,SWCCRWR,06/04/14
8136707,15669785,SWOHNSL,02/03/14
8080319,15670157,SSNSECH,03/04/14
8133840,15668416,SWCZCSZ,01/03/14
8355025,15669869,SWOCHZL,08/12/13
8247161,15668475,SWONLWN,23/01/14
7663653,15669866,SWNEOSH,22/04/13
8094384,15668465,SSSEWCH,11/03/14
7516989,15669817,SWRHHWL,13/07/13
8131359,34989441,SWHRCEO,28/02/14
8119388,15668458,SWLSCLN,23/03/14
8149245,15669856,SSWELWZ,07/03/14
7518687,15669860,SWNEESC,15/07/13
8169684,15668378,SWLCCWC,17/02/14
8283998,15668478,SSLRELN,09/01/14
8342762,15669977,SSWZRHL,02/12/13
8337624,15669998,SWREHHO,29/11/13
8101018,15669887,SSLREZW,15/03/14
8140923,34986328,SWNZHZN,04/03/14
8061961,15668471,SSSCOOH,27/03/14
8269031,15670168,SWRLHOS,02/01/14
7730836,15668494,SWNNOWW,18/02/13
8322799,7572302,SWOCNCN,25/12/13
7826605,15668380,SWNRWOH,24/09/12
7812284,7578229,SWLLESL,21/08/12
8227204,15668381,SWNSEHW,14/01/14
8079315,7718555,SSSHNNH,02/04/14
8087495,7572306,SSCZRCZ,05/04/14
7830638,15670168,SWLSZWZ,02/10/12
8265392,34992815,SWCCSEN,30/12/13
7756215,15670254,SWNNZOR,04/01/13
8082175,15669780,SSSEWLS,04/04/14
8096359,15668378,SSWRLZN,13/03/14
8192688,15669814,SSZLWLC,01/02/14
8205042,15669780,SSSNESR,04/02/14
8087997,15668520,SWCOLON,06/04/14
8071092,15668594,SSLNESH,30/03/14
8180759,15669772,SSWWLCZ,22/02/14
7504989,15668378,SWLECZN,06/07/13
7493590,15669780,SWRELHW,07/08/13
